Date,Subways: Total Estimated Ridership,Buses: Total Estimated Ridership,LIRR: Total Estimated Ridership,Metro-North: Total Estimated Ridership,Staten Island Railway: Total Estimated Ridership,Day of Week,Month,Year,Is Weekend,Is Holiday,COVID,Hurricane,US_Open,Subways: Total Estimated Ridership_lag_1,Subways: Total Estimated Ridership_lag_2,Subways: Total Estimated Ridership_lag_3,Subways: Total Estimated Ridership_lag_7,Subways: Total Estimated Ridership_mean_7,Buses: Total Estimated Ridership_lag_1,Buses: Total Estimated Ridership_lag_2,Buses: Total Estimated Ridership_lag_3,Buses: Total Estimated Ridership_lag_7,Buses: Total Estimated Ridership_mean_7,LIRR: Total Estimated Ridership_lag_1,LIRR: Total Estimated Ridership_lag_2,LIRR: Total Estimated Ridership_lag_3,LIRR: Total Estimated Ridership_lag_7,LIRR: Total Estimated Ridership_mean_7,Metro-North: Total Estimated Ridership_lag_1,Metro-North: Total Estimated Ridership_lag_2,Metro-North: Total Estimated Ridership_lag_3,Metro-North: Total Estimated Ridership_lag_7,Metro-North: Total Estimated Ridership_mean_7,Staten Island Railway: Total Estimated Ridership_lag_1,Staten Island Railway: Total Estimated Ridership_lag_2,Staten Island Railway: Total Estimated Ridership_lag_3,Staten Island Railway: Total Estimated Ridership_lag_7,Staten Island Railway: Total Estimated Ridership_mean_7
2020-03-08,2120656,957163,81565,60800,1672,6,3,2020,1,0,0,0,0,2814637.0,5189447.0,5496453.0,2212965.0,4574761.285714285,1249085.0,2066743.0,2244515.0,984908.0,1880012.857142857,106058.0,289171.0,307597.0,86790.0,248939.14285714287,75838.0,205056.0,194386.0,55825.0,156449.0,2445.0,15285.0,17203.0,1636.0,12614.0
2020-03-09,4973513,2124770,277001,183953,16122,0,3,2020,0,0,0,0,0,2120656.0,2814637.0,5189447.0,5329915.0,4561574.285714285,957163.0,1249085.0,2066743.0,2209066.0,1876049.2857142857,81565.0,106058.0,289171.0,321569.0,248192.7142857143,60800.0,75838.0,205056.0,180701.0,157159.7142857143,1672.0,2445.0,15285.0,17140.0,12619.142857142857
2020-03-10,4867818,2111989,259324,179050,15805,1,3,2020,0,0,0,0,0,4973513.0,2120656.0,2814637.0,5481103.0,4510659.714285715,2124770.0,957163.0,1249085.0,2228608.0,1864007.0,277001.0,81565.0,106058.0,319727.0,241825.85714285713,183953.0,60800.0,75838.0,190648.0,157624.2857142857,16122.0,1672.0,2445.0,17453.0,12473.714285714286
2020-03-11,4697122,2112967,245798,175074,15340,2,3,2020,0,0,0,0,0,4867818.0,4973513.0,2120656.0,5498809.0,4423047.571428572,2111989.0,2124770.0,957163.0,2177165.0,1847347.142857143,259324.0,277001.0,81565.0,311662.0,233196.85714285713,179050.0,183953.0,60800.0,192689.0,155967.42857142858,15805.0,16122.0,1672.0,17136.0,12238.285714285714
2020-03-12,4149505,1938424,197178,169547,14169,3,3,2020,0,0,0,0,0,4697122.0,4867818.0,4973513.0,5496453.0,4308520.857142857,2112967.0,2111989.0,2124770.0,2244515.0,1838176.0,245798.0,259324.0,277001.0,307597.0,223787.7142857143,175074.0,179050.0,183953.0,194386.0,153451.0,15340.0,15805.0,16122.0,17203.0,11981.714285714286
2020-03-13,3484996,1715737,158582,167176,11769,4,3,2020,0,0,0,0,0,4149505.0,4697122.0,4867818.0,5189447.0,4116099.714285714,1938424.0,2112967.0,2111989.0,2066743.0,1794448.7142857143,197178.0,245798.0,259324.0,289171.0,208013.57142857142,169547.0,175074.0,179050.0,205056.0,149902.57142857142,14169.0,15340.0,15805.0,15285.0,11548.285714285714
2020-03-14,1670665,993287,44885,39701,2135,5,3,2020,1,0,0,0,0,3484996.0,4149505.0,4697122.0,2814637.0,3872606.714285714,1715737.0,1938424.0,2112967.0,1249085.0,1744305.0,158582.0,197178.0,245798.0,106058.0,189358.0,167176.0,169547.0,175074.0,75838.0,144491.14285714287,11769.0,14169.0,15340.0,2445.0,11046.0
2020-03-15,1157711,711555,33407,32641,1368,6,3,2020,1,0,1,0,0,1670665.0,3484996.0,4149505.0,2120656.0,3709182.1428571427,993287.0,1715737.0,1938424.0,957163.0,1707762.4285714286,44885.0,158582.0,197178.0,81565.0,180619.0,39701.0,167176.0,169547.0,60800.0,139328.7142857143,2135.0,11769.0,14169.0,1672.0,11001.714285714286
2020-03-16,2178555,1237309,119333,153262,5741,0,3,2020,0,0,1,0,0,1157711.0,1670665.0,3484996.0,4973513.0,3571618.5714285714,711555.0,993287.0,1715737.0,2124770.0,1672675.5714285714,33407.0,44885.0,158582.0,277001.0,173739.2857142857,32641.0,39701.0,167176.0,183953.0,135306.0,1368.0,2135.0,11769.0,16122.0,10958.285714285714
2020-03-17,1788786,1094949,83578,147391,4573,1,3,2020,0,0,1,0,0,2178555.0,1157711.0,1670665.0,4867818.0,3172338.8571428573,1237309.0,711555.0,993287.0,2111989.0,1545895.4285714286,119333.0,33407.0,44885.0,259324.0,151215.2857142857,153262.0,32641.0,39701.0,179050.0,130921.57142857143,5741.0,1368.0,2135.0,15805.0,9475.285714285714
