Date,Subways: Total Estimated Ridership,Subways: % of Comparable Pre-Pandemic Day
03/01/2020,2212965,0.97
03/02/2020,5329915,0.96
03/03/2020,5481103,0.98
03/04/2020,5498809,0.99
03/05/2020,5496453,0.99
03/06/2020,5189447,0.93
03/07/2020,2814637,0.92
03/08/2020,2120656,0.93
03/09/2020,4973513,0.89
03/10/2020,4867818,0.87
03/11/2020,4697122,0.84
03/12/2020,4149505,0.75
03/13/2020,3484996,0.63
03/14/2020,1670665,0.54
03/15/2020,1157711,0.51
03/16/2020,2178555,0.39
03/17/2020,1788786,0.32
03/18/2020,1625280,0.29
03/19/2020,1422112,0.26
03/20/2020,1309125,0.24
03/21/2020,619618,0.2
03/22/2020,408723,0.18
03/23/2020,709499,0.13
03/24/2020,741587,0.13
03/25/2020,690032,0.12
03/26/2020,680360,0.12
03/27/2020,656817,0.12
03/28/2020,332393,0.11
03/29/2020,263700,0.12
03/30/2020,545215,0.1
03/31/2020,508106,0.09
04/01/2020,513481,0.09
04/02/2020,485586,0.09
04/03/2020,483357,0.09
04/04/2020,282278,0.09
04/05/2020,227303,0.09
04/06/2020,445454,0.08
04/07/2020,434986,0.08
04/08/2020,427485,0.08
04/09/2020,404635,0.07
04/10/2020,400275,0.07
04/11/2020,257061,0.08
04/12/2020,198399,0.08
04/13/2020,363312,0.07
04/14/2020,430155,0.08
04/15/2020,419059,0.08
04/16/2020,420223,0.08
04/17/2020,432368,0.08
04/18/2020,254453,0.08
04/19/2020,224411,0.09
04/20/2020,437852,0.08
04/21/2020,422107,0.08
04/22/2020,458781,0.08
04/23/2020,453520,0.08
04/24/2020,443956,0.08
04/25/2020,295387,0.09
04/26/2020,218787,0.09
04/27/2020,462888,0.08
04/28/2020,489247,0.09
04/29/2020,477799,0.09
04/30/2020,465869,0.08
05/01/2020,494549,0.09
05/02/2020,325865,0.1
05/03/2020,258865,0.11
05/04/2020,511866,0.09
05/05/2020,522085,0.09
05/06/2020,508824,0.09
05/07/2020,535073,0.09
05/08/2020,526054,0.09
05/09/2020,316883,0.1
05/10/2020,271947,0.11
05/11/2020,520873,0.09
05/12/2020,553372,0.1
05/13/2020,565377,0.1
05/14/2020,567392,0.1
05/15/2020,587808,0.1
05/16/2020,360844,0.11
05/17/2020,287418,0.12
05/18/2020,595469,0.1
05/19/2020,610884,0.11
05/20/2020,623749,0.11
05/21/2020,629298,0.11
05/22/2020,633883,0.11
05/23/2020,335830,0.1
05/24/2020,320015,0.13
05/25/2020,393918,0.16
05/26/2020,656766,0.11
05/27/2020,674465,0.12
05/28/2020,658057,0.12
05/29/2020,657259,0.11
05/30/2020,426737,0.13
05/31/2020,344426,0.14
06/01/2020,687162,0.12
06/02/2020,693760,0.12
06/03/2020,681714,0.12
06/04/2020,726672,0.13
06/05/2020,703576,0.13
06/06/2020,464198,0.14
06/07/2020,377990,0.14
06/08/2020,804542,0.14
06/09/2020,842306,0.15
06/10/2020,857015,0.15
06/11/2020,818297,0.15
06/12/2020,896658,0.16
06/13/2020,545316,0.17
06/14/2020,430439,0.16
06/15/2020,897112,0.16
06/16/2020,932671,0.17
06/17/2020,948461,0.17
06/18/2020,942382,0.17
06/19/2020,986929,0.38
06/20/2020,576075,0.18
06/21/2020,449497,0.17
06/22/2020,1000046,0.18
06/23/2020,1050786,0.19
06/24/2020,1068333,0.19
06/25/2020,1078796,0.19
06/26/2020,1102382,0.2
06/27/2020,615398,0.19
06/28/2020,535898,0.2
06/29/2020,1100769,0.2
06/30/2020,1113124,0.2
07/01/2020,1120537,0.21
07/02/2020,1170483,0.22
07/03/2020,851877,0.36
07/04/2020,591605,0.21
07/05/2020,533692,0.23
07/06/2020,1084956,0.21
07/07/2020,1157185,0.22
07/08/2020,1172279,0.22
07/09/2020,1211280,0.23
07/10/2020,1030632,0.2
07/11/2020,692977,0.25
07/12/2020,628187,0.27
07/13/2020,1175700,0.22
07/14/2020,1241080,0.24
07/15/2020,1248413,0.24
07/16/2020,1249128,0.24
07/17/2020,1207265,0.23
07/18/2020,778936,0.28
07/19/2020,584994,0.25
07/20/2020,1156735,0.22
07/21/2020,1241819,0.24
07/22/2020,1233668,0.23
07/23/2020,1233795,0.23
07/24/2020,1218138,0.23
07/25/2020,816604,0.29
07/26/2020,606910,0.26
07/27/2020,1203503,0.23
07/28/2020,1241770,0.24
07/29/2020,1296102,0.25
07/30/2020,1270172,0.24
07/31/2020,1258539,0.24
08/01/2020,842468,0.29
08/02/2020,590060,0.25
08/03/2020,1272996,0.25
08/04/2020,1027187,0.2
08/05/2020,1348202,0.26
08/06/2020,1334694,0.26
08/07/2020,1283894,0.25
08/08/2020,833287,0.28
08/09/2020,662993,0.28
08/10/2020,1275268,0.25
08/11/2020,1319814,0.26
08/12/2020,1298963,0.25
08/13/2020,1291277,0.25
08/14/2020,1355786,0.26
08/15/2020,860789,0.29
08/16/2020,554451,0.23
08/17/2020,1304485,0.25
08/18/2020,1369617,0.27
08/19/2020,1292148,0.25
08/20/2020,1410489,0.27
08/21/2020,1387463,0.27
08/22/2020,882522,0.3
08/23/2020,671560,0.28
08/24/2020,1307345,0.25
08/25/2020,1346490,0.26
08/26/2020,1407639,0.27
08/27/2020,1358272,0.26
08/28/2020,1388583,0.27
08/29/2020,773667,0.26
08/30/2020,748061,0.31
08/31/2020,1397264,0.27
09/01/2020,1469274,0.25
09/02/2020,1487969,0.26
09/03/2020,1529185,0.26
09/04/2020,1568385,0.27
09/05/2020,1013725,0.31
09/06/2020,819409,0.32
09/07/2020,870964,0.34
09/08/2020,1555816,0.27
09/09/2020,1610076,0.28
09/10/2020,1543662,0.27
09/11/2020,1690334,0.29
09/12/2020,1083698,0.34
09/13/2020,796740,0.31
09/14/2020,1604381,0.28
09/15/2020,1678078,0.29
09/16/2020,1686909,0.29
09/17/2020,1692368,0.29
09/18/2020,1725443,0.3
09/19/2020,1136947,0.35
09/20/2020,827605,0.33
09/21/2020,1624139,0.28
09/22/2020,1698504,0.29
09/23/2020,1735333,0.3
09/24/2020,1722364,0.3
09/25/2020,1761591,0.31
09/26/2020,1120143,0.35
